Symbol,Sector,Industry
WDC,Information Technology,"Technology Hardware, Storage & Peripherals"
WY,Real Estate,Timber REITs
WSM,Consumer Discretionary,Homefurnishing Retail
WMB,Energy,Oil & Gas Storage & Transportation
WTW,Financials,Insurance Brokers
WDAY,Information Technology,Application Software
WYNN,Consumer Discretionary,Casinos & Gaming
XEL,Utilities,Multi-Utilities
XYL,Industrials,Industrial Machinery & Supplies & Components
YUM,Consumer Discretionary,Restaurants
ZBRA,Information Technology,Electronic Equipment & Instruments
ZBH,Health Care,Health Care Equipment
ZTS,Health Care,Pharmaceuticals
AA,Materials,Aluminum
AAL,Industrials,Passenger Airlines
AAON,Industrials,Building Products
ACI,Consumer Staples,Food Retail
ACM,Industrials,Construction & Engineering
ADC,Real Estate,Retail REITs
AFG,Financials,Multi-line Insurance
AGCO,Industrials,Agricultural & Farm Machinery
AIT,Industrials,Trading Companies & Distributors
ALGM,Information Technology,Semiconductors
ALK,Industrials,Passenger Airlines
ALLY,Financials,Consumer Finance
ALV,Consumer Discretionary,Automotive Parts & Equipment
AM,Energy,Oil & Gas Storage & Transportation
AMG,Financials,Asset Management & Custody Banks
AMH,Real Estate,Single-Family Residential REITs
AMKR,Information Technology,Semiconductors
AN,Consumer Discretionary,Automotive Retail
ANF,Consumer Discretionary,Apparel Retail
APG,Industrials,Construction & Engineering
APPF,Information Technology,Application Software
AR,Energy,Oil & Gas Exploration & Production
ARMK,Consumer Discretionary,Distributors
ARW,Information Technology,Technology Distributors
ASB,Financials,Regional Banks
ASGN,Information Technology,IT Consulting & Other Services
ASH,Materials,Diversified Chemicals
ATI,Industrials,Aerospace & Defense
ATR,Materials,"Metal, Glass & Plastic Containers"
AVAV,Industrials,Aerospace & Defense
AVNT,Materials,Specialty Chemicals
AVT,Information Technology,Technology Distributors
AVTR,Health Care,Life Sciences Tools & Services
AXTA,Materials,Specialty Chemicals
AYI,Industrials,Electrical Components & Equipment
BAH,Industrials,IT Consulting & Other Services
BBWI,Consumer Discretionary,Other Specialty Retail
BC,Consumer Discretionary,Leisure Products
BCO,Industrials,Security & Alarm Services
BDC,Information Technology,Electronic Components
BHF,Financials,Life & Health Insurance
BILL,Information Technology,Application Software
BIO,Health Care,Life Sciences Tools & Services
BJ,Consumer Staples,Consumer Staples Merchandise Retail
BKH,Utilities,Multi-Utilities
BLD,Consumer Discretionary,Homebuilding
BLKB,Information Technology,Application Software
BMRN,Health Care,Biotechnology
BRBR,Consumer Staples,Packaged Foods & Meats
BRKR,Health Care,Health Care Equipment
BRX,Real Estate,Retail REITs
BSY,Information Technology,Application Software
BURL,Consumer Discretionary,Apparel Retail
BWA,Consumer Discretionary,Automotive Parts & Equipment
BWXT,Industrials,Aerospace & Defense
BYD,Consumer Discretionary,Casinos & Gaming
CACI,Industrials,Diversified Support Services
CADE,Financials,Regional Banks
CAR,Industrials,Passenger Ground Transportation
CART,Consumer Staples,Food Retail
CASY,Consumer Staples,Food Retail
CAVA,Consumer Discretionary,Restaurants
CBSH,Financials,Regional Banks
CBT,Materials,Diversified Chemicals
CCK,Materials,Paper & Plastic Packaging Products & Materials
CDP,Real Estate,Office REITs
CELH,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
CFR,Financials,Regional Banks
CG,Financials,Asset Management & Custody Banks
CGNX,Information Technology,Electronic Equipment & Instruments
CHDN,Consumer Discretionary,Casinos & Gaming
CHE,Health Care,Health Care Services
CHH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CHRD,Energy,Oil & Gas Exploration & Production
CHWY,Consumer Discretionary,Other Specialty Retail
CIEN,Information Technology,Communications Equipment
CIVI,Energy,Oil & Gas Exploration & Production
CLF,Materials,Steel
CLH,Industrials,Environmental & Facilities Services
CMA,Financials,Regional Banks
CMC,Materials,Steel
CNH,Industrials,Agricultural & Farm Machinery
CNM,Industrials,Trading Companies & Distributors
CNO,Financials,Life & Health Insurance
CNX,Energy,Oil & Gas Exploration & Production
CNXC,Industrials,Data Processing & Outsourced Services
COHR,Information Technology,Electronic Components
COKE,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
COLB,Financials,Regional Banks
COLM,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
COTY,Consumer Staples,Personal Care Products
CPRI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
CR,Industrials,Industrial Machinery & Supplies & Components
CRBG,Financials,Asset Management & Custody Banks
CROX,Consumer Discretionary,Footwear
CRS,Industrials,Industrial Machinery & Supplies & Components
CRUS,Information Technology,Semiconductors
CSL,Industrials,Industrial Conglomerates
CUBE,Real Estate,Industrial REITs
CUZ,Real Estate,Office REITs
CVLT,Information Technology,Systems Software
CW,Industrials,Aerospace & Defense
CXT,Information Technology,Electronic Equipment & Instruments
CYTK,Health Care,Biotechnology
DAR,Consumer Staples,Agricultural Products & Services
DBX,Information Technology,Application Software
DCI,Industrials,Industrial Machinery & Supplies & Components
DINO,Energy,Oil & Gas Refining & Marketing
DKS,Consumer Discretionary,Specialty Stores
DLB,Information Technology,Application Software
DOCS,Health Care,Health Care Technology
DOCU,Information Technology,Application Software
DT,Information Technology,Application Software
DTM,Energy,Oil & Gas Storage & Transportation
DUOL,Consumer Discretionary,Education Services
DY,Industrials,Construction & Engineering
EEFT,Financials,Transaction & Payment Processing Services
EGP,Real Estate,Industrial REITs
EHC,Health Care,Health Care Facilities
ELAN,Health Care,Pharmaceuticals
ELF,Consumer Staples,Personal Care Products
ELS,Real Estate,Single-Family Residential REITs
ENS,Industrials,Electrical Components & Equipment
ENSG,Health Care,Health Care Facilities
ENTG,Information Technology,Semiconductor Materials & Equipment
EPR,Real Estate,Other Specialized REITs
EQH,Financials,Diversified Financial Services
ESAB,Industrials,Industrial Machinery & Supplies & Components
ESNT,Financials,Commercial & Residential Mortgage Finance
EVR,Financials,Investment Banking & Brokerage
EWBC,Financials,Regional Banks
EXEL,Health Care,Biotechnology
EXLS,Industrials,Data Processing & Outsourced Services
EXP,Materials,Construction Materials
EXPO,Industrials,Research & Consulting Services
FAF,Financials,Property & Casualty Insurance
FBIN,Industrials,Building Products
FCFS,Financials,Consumer Finance
FCN,Industrials,Research & Consulting Services
FFIN,Financials,Regional Banks
FHI,Financials,Asset Management & Custody Banks
FHN,Financials,Regional Banks
FIVE,Consumer Discretionary,Specialty Stores
FLEX,Information Technology,Electronic Manufacturing Services
FLG,Financials,Regional Banks
FLO,Consumer Staples,Packaged Foods & Meats
FLR,Industrials,Construction & Engineering
FLS,Industrials,Industrial Machinery & Supplies & Components
FN,Information Technology,Electronic Manufacturing Services
FNB,Financials,Regional Banks
FND,Consumer Discretionary,Home Improvement Retail
FNF,Financials,Property & Casualty Insurance
FOUR,Financials,Transaction & Payment Processing Services
FR,Real Estate,Industrial REITs
FTI,Energy,Oil & Gas Equipment & Services
FYBR,Communication Services,Integrated Telecommunication Services
G,Industrials,Data Processing & Outsourced Services
GAP,Consumer Discretionary,Apparel Retail
GATX,Industrials,Construction Machinery & Heavy Transportation Equipment
GBCI,Financials,Regional Banks
GEF,Materials,"Metal, Glass & Plastic Containers"
GGG,Industrials,Industrial Machinery & Supplies & Components
GHC,Consumer Discretionary,Education Services
GLPI,Real Estate,Other Specialized REITs
GME,Consumer Discretionary,Computer & Electronics Retail
GMED,Health Care,Health Care Equipment
GNTX,Consumer Discretionary,Automotive Parts & Equipment
GPK,Materials,Paper & Plastic Packaging Products & Materials
GT,Consumer Discretionary,Tires & Rubber
GTLS,Industrials,Industrial Machinery & Supplies & Components
GTM,Communication Services,Interactive Media & Services
GWRE,Information Technology,Application Software
GXO,Industrials,Air Freight & Logistics
H,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HAE,Health Care,Health Care Supplies
HALO,Health Care,Biotechnology
HGV,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HIMS,Health Care,Health Care Services
HL,Materials,Silver
HLI,Financials,Investment Banking & Brokerage
HLNE,Financials,Asset Management & Custody Banks
HOG,Consumer Discretionary,Motorcycle Manufacturers
HOMB,Financials,Regional Banks
HQY,Health Care,Managed Health Care
HR,Real Estate,Health Care REITs
HRB,Consumer Discretionary,Specialized Consumer Services
HWC,Financials,Regional Banks
HXL,Industrials,Aerospace & Defense
IBOC,Financials,Regional Banks
IDA,Utilities,Electric Utilities
ILMN,Health Care,Life Sciences Tools & Services
INGR,Consumer Staples,Agricultural Products & Services
IPGP,Information Technology,Electronic Manufacturing Services
IRT,Real Estate,Multi-Family Residential REITs
ITT,Industrials,Industrial Machinery & Supplies & Components
JAZZ,Health Care,Pharmaceuticals
JEF,Financials,Multi-Sector Holdings
JHG,Financials,Asset Management & Custody Banks
JLL,Real Estate,Real Estate Services
KBH,Consumer Discretionary,Homebuilding
KBR,Industrials,Diversified Support Services
KD,Information Technology,IT Consulting & Other Services
KEX,Industrials,Marine Transportation
KMPR,Financials,Multi-line Insurance
KNF,Materials,Construction Materials
KNSL,Financials,Property & Casualty Insurance
KNX,Industrials,Cargo Ground Transportation
KRC,Real Estate,Office REITs
KRG,Real Estate,Retail REITs
KTOS,Industrials,Aerospace & Defense
LAD,Consumer Discretionary,Automotive Retail
LAMR,Real Estate,Other Specialized REITs
LEA,Consumer Discretionary,Automotive Parts & Equipment
LECO,Industrials,Industrial Machinery & Supplies & Components
LFUS,Information Technology,Electronic Components
LITE,Information Technology,Communications Equipment
LIVN,Health Care,Health Care Equipment
LNTH,Health Care,Health Care Supplies
LOPE,Consumer Discretionary,Education Services
LPX,Materials,Forest Products
LSCC,Information Technology,Semiconductors
LSTR,Industrials,Cargo Ground Transportation
M,Consumer Discretionary,Broadline Retail
MANH,Information Technology,Application Software
MASI,Health Care,Health Care Equipment
MAT,Consumer Discretionary,Leisure Products
MEDP,Health Care,Life Sciences Tools & Services
MIDD,Industrials,Industrial Machinery & Supplies & Components
MKSI,Information Technology,Semiconductor Materials & Equipment
MLI,Industrials,Industrial Machinery & Supplies & Components
MMS,Industrials,Data Processing & Outsourced Services
MORN,Financials,Financial Exchanges & Data
MP,Materials,Diversified Metals & Mining
MSA,Industrials,Office Services & Supplies
MSM,Industrials,Trading Companies & Distributors
MTDR,Energy,Oil & Gas Exploration & Production
MTG,Financials,Reinsurance
MTN,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MTSI,Information Technology,Semiconductors
MTZ,Industrials,Construction & Engineering
MUR,Energy,Oil & Gas Exploration & Production
MUSA,Consumer Discretionary,Automotive Retail
MZTI,Consumer Staples,Packaged Foods & Meats
NBIX,Health Care,Biotechnology
NEU,Materials,Specialty Chemicals
NFG,Utilities,Gas Utilities
NJR,Utilities,Gas Utilities
NLY,Financials,Mortgage REITs
NNN,Real Estate,Retail REITs
NOV,Energy,Oil & Gas Equipment & Services
NOVT,Information Technology,Electronic Equipment & Instruments
NSA,Real Estate,Self-Storage REITs
NTNX,Information Technology,Systems Software
NVST,Health Care,Health Care Supplies
NVT,Industrials,Electrical Components & Equipment
NWE,Utilities,Multi-Utilities
NXST,Communication Services,Broadcasting
NXT,Industrials,Electrical Components & Equipment
NYT,Communication Services,Publishing
OC,Industrials,Building Products
OGE,Utilities,Multi-Utilities
OGS,Utilities,Gas Utilities
OHI,Real Estate,Health Care REITs
OKTA,Information Technology,Application Software
OLED,Information Technology,Semiconductors
OLLI,Consumer Discretionary,Broadline Retail
OLN,Materials,Diversified Chemicals
ONB,Financials,Regional Banks
ONTO,Information Technology,Semiconductor Materials & Equipment
OPCH,Health Care,Health Care Facilities
ORA,Utilities,Renewable Electricity
ORI,Financials,Property & Casualty Insurance
OSK,Industrials,Construction Machinery & Heavy Transportation Equipment
OVV,Energy,Oil & Gas Exploration & Production
OZK,Financials,Regional Banks
PAG,Consumer Discretionary,Automotive Retail
PATH,Information Technology,Systems Software
PB,Financials,Regional Banks
PBF,Energy,Oil & Gas Refining & Marketing
PCH,Real Estate,Timber REITs
PCTY,Industrials,Human Resource & Employment Services
PEGA,Information Technology,Application Software
PEN,Health Care,Health Care Equipment
PFGC,Consumer Staples,Food Distributors
PII,Consumer Discretionary,Leisure Products
PINS,Communication Services,
PK,Real Estate,Hotel & Resort REITs
PLNT,Consumer Discretionary,Leisure Facilities
PNFP,Financials,Regional Banks
POR,Utilities,Electric Utilities
POST,Consumer Staples,Packaged Foods & Meats
PPC,Consumer Staples,Packaged Foods & Meats
PR,Energy,Oil & Gas Exploration & Production
PRI,Financials,Life & Health Insurance
PSN,Industrials,Aerospace & Defense
PSTG,Information Technology,"Technology Hardware, Storage & Peripherals"
PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
QLYS,Information Technology,Systems Software
R,Industrials,Cargo Ground Transportation
RBA,Industrials,Diversified Support Services
RBC,Industrials,Industrial Machinery & Supplies & Components
REXR,Real Estate,Industrial REITs
RGA,Financials,Reinsurance
RGEN,Health Care,Biotechnology
RGLD,Materials,Gold
RH,Consumer Discretionary,Homefurnishing Retail
RLI,Financials,Property & Casualty Insurance
RMBS,Information Technology,Semiconductors
RNR,Financials,Reinsurance
ROIV,Health Care,Biotechnology
RPM,Materials,Specialty Chemicals
RRC,Energy,Oil & Gas Exploration & Production
RRX,Industrials,Electrical Components & Equipment
RS,Materials,Steel
RYAN,Financials,Insurance Brokers
RYN,Real Estate,Timber REITs
SAIA,Industrials,Cargo Ground Transportation
SAIC,Industrials,Diversified Support Services
SAM,Consumer Staples,Brewers
SATS,Communication Services,Wireless Telecommunication Services
SBRA,Real Estate,Health Care REITs
SCI,Consumer Discretionary,Specialized Consumer Services
SEIC,Financials,Asset Management & Custody Banks
SF,Financials,Investment Banking & Brokerage
SFM,Consumer Staples,Food Retail
SGI,Consumer Discretionary,Home Furnishings
SHC,Health Care,Health Care Services
SIGI,Financials,Property & Casualty Insurance
SLAB,Information Technology,Semiconductors
SLGN,Materials,"Metal, Glass & Plastic Containers"
SLM,Financials,Consumer Finance
SMG,Materials,Fertilizers & Agricultural Chemicals
SNX,Information Technology,Technology Distributors
SON,Materials,Paper & Plastic Packaging Products & Materials
SPXC,Industrials,Industrial Machinery & Supplies & Components
SR,Utilities,Gas Utilities
SSB,Financials,Regional Banks
SSD,Industrials,Building Products
ST,Industrials,Electrical Components & Equipment
STAG,Real Estate,Industrial REITs
STRL,Industrials,Construction & Engineering
STWD,Financials,Mortgage REITs
SWX,Utilities,Gas Utilities
SYNA,Information Technology,Semiconductors
TCBI,Financials,Regional Banks
TEX,Industrials,Construction Machinery & Heavy Transportation Equipment
THC,Health Care,Health Care Facilities
THG,Financials,Property & Casualty Insurance
THO,Consumer Discretionary,Leisure Products
TKR,Industrials,Industrial Machinery & Supplies & Components
TLN,Utilities,Independent Power Producers & Energy Traders
TMHC,Consumer Discretionary,Homebuilding
TNL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
TOL,Consumer Discretionary,Homebuilding
TREX,Industrials,Building Products
TRU,Industrials,Research & Consulting Services
TTC,Industrials,Agricultural & Farm Machinery
TTEK,Industrials,Construction & Engineering
TWLO,Information Technology,Systems Software
TXNM,Utilities,Electric Utilities
TXRH,Consumer Discretionary,Restaurants
UBSI,Financials,Regional Banks
UFPI,Industrials,Building Products
UGI,Utilities,Gas Utilities
ULS,Industrials,
UMBF,Financials,Regional Banks
UNM,Financials,Life & Health Insurance
USFD,Consumer Staples,Food Distributors
UTHR,Health Care,Biotechnology
VAL,Energy,Oil & Gas Drilling
VC,Consumer Discretionary,Automotive Parts & Equipment
VFC,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
VLY,Financials,Regional Banks
VMI,Industrials,Industrial Machinery & Supplies & Components
VNO,Real Estate,Office REITs
VNOM,Energy,Oil & Gas Storage & Transportation
VNT,Information Technology,Electronic Equipment & Instruments
VOYA,Financials,Multi-Sector Holdings
VVV,Consumer Discretionary,Automotive Retail
WAL,Financials,Regional Banks
WBS,Financials,Regional Banks
WCC,Industrials,Trading Companies & Distributors
WEX,Financials,Transaction & Payment Processing Services
WFRD,Energy,Oil & Gas Equipment & Services
WH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
WHR,Consumer Discretionary,Household Appliances
WING,Consumer Discretionary,Restaurants
WLK,Materials,Specialty Chemicals
WMG,Communication Services,Movies & Entertainment
WMS,Industrials,Building Products
WPC,Real Estate,Diversified REITs
WSO,Industrials,Trading Companies & Distributors
WTFC,Financials,Regional Banks
WTRG,Utilities,Water Utilities
WTS,Industrials,Building Products
WWD,Industrials,Electrical Components & Equipment
XPO,Industrials,Cargo Ground Transportation
XRAY,Health Care,Health Care Supplies
YETI,Consumer Discretionary,Leisure Products
ZION,Financials,Regional Banks
AAMI,Financials,Asset Management & Custody Banks
AAP,Consumer Discretionary,Automotive Retail
AAT,Real Estate,Diversified REITs
ABCB,Financials,Regional Banks
ABG,Consumer Discretionary,Automotive Retail
ABM,Industrials,Environmental & Facilities Services
ABR,Financials,Mortgage REITs
ACA,Industrials,Construction & Engineering
ACAD,Health Care,Pharmaceuticals
ACHC,Health Care,Health Care Facilities
ACIW,Information Technology,Application Software
ACLS,Information Technology,Semiconductor Materials & Equipment
ACMR,Information Technology,Semiconductor Materials & Equipment
ACT,Financials,Commercial & Residential Mortgage Finance
ADAM,Real Estate,Mortgage REITs
ADEA,Information Technology,IT Consulting & Other Services
ADMA,Health Care,Biotechnology
ADNT,Consumer Discretionary,Automotive Parts & Equipment
ADUS,Health Care,Health Care Services
AEIS,Information Technology,Semiconductor Materials & Equipment
AEO,Consumer Discretionary,Apparel Retail
AESI,Energy,Oil & Gas Equipment & Services
AGO,Financials,Property & Casualty Insurance
AGYS,Information Technology,Application Software
AHCO,Health Care,Health Care Equipment
AHH,Real Estate,Diversified REITs
AIN,Industrials,Industrial Machinery & Supplies & Components
AIR,Industrials,Aerospace & Defense
AKR,Real Estate,Retail REITs
AL,Industrials,Passenger Airlines
ALEX,Real Estate,Diversified REITs
ALG,Industrials,Construction Machinery & Heavy Transportation Equipment
ALGT,Industrials,Passenger Airlines
ALKS,Health Care,Pharmaceuticals
ALRM,Financials,Application Software
AMN,Health Care,Health Care Services
AMPH,Health Care,Pharmaceuticals
AMR,Materials,Steel
AMSF,Financials,Property & Casualty Insurance
AMTM,Industrials,Diversified Support Services
AMWD,Industrials,Building Products
ANDE,Consumer Staples,Food Distributors
ANGI,Communication Services,Advertising
ANIP,Health Care,Pharmaceuticals
AORT,Health Care,Health Care Equipment
AOSL,Information Technology,Semiconductors
APAM,Financials,Asset Management & Custody Banks
APLE,Real Estate,Hotel & Resort REITs
APOG,Industrials,Building Products
ARCB,Industrials,Cargo Ground Transportation
ARI,Real Estate,Mortgage REITs
ARLO,Information Technology,Communications Equipment
AROC,Energy,Oil & Gas Equipment & Services
ARR,Real Estate,Mortgage REITs
ARWR,Health Care,Biotechnology
ASO,Consumer Discretionary,Specialty Stores
ASTE,Industrials,Construction Machinery & Heavy Transportation Equipment
ASTH,Health Care,Health Care Facilities
ATEN,Information Technology,Systems Software
ATGE,Consumer Discretionary,Education Services
AUB,Financials,Regional Banks
AVA,Utilities,Multi-Utilities
AVNS,Health Care,Health Care Supplies
AWI,Industrials,Building Products
AWR,Utilities,Water Utilities
AX,Financials,Regional Banks
AXL,Consumer Discretionary,Automotive Parts & Equipment
AZTA,Health Care,Life Sciences Tools & Services
AZZ,Industrials,Heavy Electrical Equipment
BANC,Financials,Regional Banks
BANF,Financials,Regional Banks
BANR,Financials,Regional Banks
BBT,Financials,Regional Banks
BCC,Industrials,Building Products
BCPC,Materials,Specialty Chemicals
BFH,Financials,Consumer Finance
BFS,Real Estate,Retail REITs
BGC,Financials,Investment Banking & Brokerage
BHE,Information Technology,Electronic Manufacturing Services
BJRI,Consumer Discretionary,Restaurants
BKE,Consumer Discretionary,Apparel Retail
BKU,Financials,Regional Banks
BL,Information Technology,Application Software
BLFS,Health Care,Health Care Supplies
BLMN,Consumer Discretionary,Restaurants
BMI,Information Technology,Electronic Equipment & Instruments
BOH,Financials,Regional Banks
BOOT,Consumer Discretionary,Apparel Retail
BOX,Information Technology,Application Software
BRC,Industrials,Commercial Printing
BTSG,Health Care,Health Care Services
BTU,Energy,Coal & Consumable Fuels
BXMT,Financials,Mortgage REITs
CABO,Communication Services,Cable & Satellite
